name,location,location_updated,review_title,review_content,date,date_updated,helpful_vote,vote_count,products_used,consumer_tips,overall_rating,service_rating,value_rating,shipping_rating,returns_rating,quality_rating
Ana S.,Texas 1 review 0 helpful votes,Texas,Nike Grapevine Mills Mall,,September 19 2021,19/9/2021,Helpful (0),0,,,1,0,2,1,1,4
Shenaka C.,Georgia 1 review 2 helpful votes,Georgia,Horrible,,May 9 2020,9/5/2020,Helpful (2),2,,,1,0,3,0,0,3
Beverly W.,Georgia 1 review 2 helpful votes,Georgia,Nike air low shadow,,April 6 2022,6/4/2022,Helpful (2),2,,,1,0,2,3,0,1
Tina W.,California 1 review 2 helpful votes,California,Farewell Nike!,,July 3 2019,3/7/2019,Helpful (2),2,,,1,1,1,1,1,1
T G.,Australia 1 review 1 helpful vote,Australia,Wrong items delivered,I ordered 10 items from Nike. Received two completely unrelated items. Contacted customer service to resolve the matter. I had used a discount code to purchase the items. Initially offered a refund and told to return the incorrect items. Only offered a price match for the items following multiple phone calls and extremely evasive and dismissive customer service response. When I attempted to get the price match it was not honoured. I had been a returning customer but never again. Just wanted people to proceed with caution given how Nike responds to their own mistakes.,August 14 2021,14/8/2021,Helpful (1),1,,,1,0,2,1,1,2
Michael M.,Nebraska 1 review 4 helpful votes,Nebraska,I would pick zero stars if I could,,July 3 2019,3/7/2019,Helpful (4),4,,,1,0,1,1,1,1
Kim P.,Massachusetts 1 review 2 helpful votes,Massachusetts,Don't buy from Nike.com!,They use Lasership as a carrier. Placed order on 11/22 and told they won't react until Dec 7th? 15+ days is unacceptable. Lasership saying they never received shipment. Nike is saying it went out on the 23rd. Nike customer service won't reship or credit. I expected more from Nike.com. A staple in the industry should be partnered with FedEx. No more Nike for this household.,November 30 2021,30/11/2021,Helpful (2),2,Request expedited shipping,Sneakers,1,1,1,1,1,1
Cheryl T.,GB 1 review 0 helpful votes,GB,Fast dispatch great company,Brought a pair of ladies nike 270 trainers in size 7 did not fit don't think they are made for ppl with wide feet tried 7.5 still didn't fit & size 8 is too big. Had to return the trainers as did not fit. The trainers looked great was disappointed as had to return.,July 22 2022,22/7/2022,Helpful (0),0,,,5,0,0,5,0,0
Aleksandr T.,Florida 1 review 0 helpful votes,Florida,Comfi and durable,,February 15 2023,15/2/2023,Helpful (0),0,,,5,2,4,3,3,5
Dianna D.,California 2 reviews 0 helpful votes,California,Downhill Quality - zero backing by Nike,"I had my Nikes that I paid $90 for for a total of six months. I wore them sporadically and never in the rain. The sides by the balls of the feet began fraying and the heel reinforcement tabs began poking through the fabric into my heal. I paid $20 to send them back to Nike Rebound priority tracking mail and they denied my claim stating normal wear and tear. I'm 59 years old and my exercise is walking my chihuahua, so how much wear and tear can there be?. So $110 for six months of sporadic use? No way. They have lost a good customer. And I will make sure to tell my friends and family how wonderfully Nike backs their products.",September 23 2023,23/9/2023,Helpful (0),0,,,2,2,2,0,2,1
DAVID J.,California 10 reviews 26 helpful votes,California ,They don't stand by their product,"I purchased some Nike Tennis Shoes for my daughter and within two months, they had developed a hole in the toe area. This was from normal use while playing tennis. Obviously, any quality shoe should not develop a hole in them after only two months of normal use, so we filed a warranty claim with Nike. We had to spend $16 dollars shipping from the Bay Area in Northern California to the warranty address at Nike, which was the cheapest cost available (and unreasonably high). I received a quick rejection to my claim, stating this was normal wear and tear. They left no way for me to respond to them. I faxed two letters successfully to their Corporate Office and didn't receive the courtesy of a reply. I filed a complaint with the BBB and Nike refused again to attempt to satisfy us as customers.  We are now all done with Nike in this family, since they do not stand by the quality of their product.",May 11 2019,11/5/2019,Helpful (0),0,,,1,1,1,1,1,1
Chad M.,Oregon 1 review 1 helpful vote,Oregon,Custom AF1s fell apart in a few months,Purchased men's custom AF1s as a Christmas gift. They were worn by a high schooler at school and to do on the fly athletics like pick up basketball a few times a week. Within a few months back was ripping out and sole is compromised. Do not buy unless they are only going to be worn occasionally as a fashion statement. Very poor quality for the price. He was disappointed.,August 12 2022,12/8/2022,Helpful (1),1,,,2,0,0,0,0,0
Melissa M.,New Jersey 2 reviews 0 helpful votes,New Jersey,Bad customer experience,,November 15 2023,15/11/2023,Helpful (0),0,,,1,0,1,1,1,1
Rob E.,New York 2 reviews 3 helpful votes,New York,Horrible Customer Service Experience!,,April 20 2017,20/4/2017,Helpful (3),3,,,1,0,1,1,0,1
Austin B.,Georgia 1 review 14 helpful votes,Georgia,In need of sneakers,"In need of sneakers or other sportswear without a doubt I go here! Why? Because Nike is always stylish, comfortable and of high quality! Here you can find both classic models and extremely custom ones of a wide variety of colors and textures. In my wardrobe there are sneakers, pants, t-shirts, bags from this brand. I will say right away that I am not a athlet, but nevertheless I buy quite a lot of things of this brand, because Nike can be worn not only in the gym, but also in everyday life.",April 25 2020,25/4/2020,Helpful (14),14,,,5,2,4,3,3,5
Kimberly L.,Georgia 1 review 0 helpful votes,Georgia,Nike is a joke!,"They offer a discount once a year and shut their site down so no one can place an order. The discount works for two days and their servers were down both days they offered the discount. Then, when the discount is no longer available, viola! Their website seems to magically work again. What a joke! I would not recommend Nike to anyone. Don't buy Nike products unless you absolutely have NO other choice!",July 14 2022,14/7/2022,Helpful (0),0,,,1,1,1,1,1,1
Richard D.,Virginia 1 review 0 helpful votes,Virginia,Richard,,January 3 2022,3/1/2022,Helpful (0),0,,,1,1,0,1,1,0
Onur C.,Netherlands 1 review 0 helpful votes,Netherlands,Nike does not send or cancel my order,,October 26 2022,26/10/2022,Helpful (0),0,,,1,1,1,0,0,1
Bunrad B.,GB 8 reviews 1 helpful vote,GB,Best jordans ever,"I very like Nike company because it provides people with clothes and boots with a high quality. I wanted to acquire some new pair of air jordan. I save my money certainly for this goal. I saved all the money I had and decided to acquire a new pair of limited collection. I visited Nike website, found the pair which I needed and I ordered it. The new pair came to me just in couple of days and now I'm happy. I am really thankful to Nike company that it offers such great assortment, in my opinion, all companies should strive for such results as Nike have.",December 5 2021,5/12/2021,Helpful (0),0,,,5,2,4,2,2,5
Chelsie B.,GB 1 review 0 helpful votes,GB,Worst Company EVER,"Would not even give 1 star, for such a big company they are an absolute joke! Bought a pair of trainers in May that turned out to be faulty so returned them, still waiting for my refund, first they said it was a problem with the bank, then it was that it was bought in store so they would send me a gift receipt, when that didn't come they apologised and said they needed my bank details to issue the refund again another two week wait and nothing then they took my bank details stating they didn't have them again another 2 week wait and nothing, then they said there had been an error and again nothing! All in all this has been going on for 9 weeks, I have spoke to someone on the phone 3 times and live chat at least 10 and got absolute no where! I just want my money back! I will never use Nike again!",August 7 2023,7/8/2023,Helpful (0),0,,,1,1,1,1,1,1
Denise B.,Colorado 1 review 0 helpful votes,Colorado,Need retraining,"Nike sent me the wrong size shoe and after being on phone with an incompetent \athlete \"" I was told they don't carry my size and I couldn't get my replacement until they received my wrong sized shoe. Not fair to customer when I paid for expedited shipping.""",November 23 2022,23/11/2022,Helpful (0),0,,,1,1,0,1,1,0
timothy R.,Georgia 1 review 0 helpful votes,Georgia,Horrible quality,"I purchased $250 pair Nike id looked exactly as ordered after 2 weeks wearing them only few times the bottom of the shoes started to literally coming off i just wear them on my days off and no running etc. the rubber on the bottom just started coming off and had to cut the loose parts off so i am not dragging pieces under shoe. Very disappointing if quality was what i thought \Nike\"" was i would purchased a few pair. Timothy rollo""",October 21 2015,21/10/2015,Helpful (0),0,,,2,2,2,2,2,2
Iulian V.,Romania 3 reviews 0 helpful votes,Romania,Bad or good,Sometimes they have good goods sometimes not for example the last purchase of air jordan was a catastrophe after two outings in the city the sole of the left one came off so i lost 130 euros for nothing,March 6 2022,6/3/2022,Helpful (0),0,,,3,5,4,3,1,5
Anna A.,Saudi Arabia 1 review 0 helpful votes,Saudi Arabia,Experience with Nike,"This is my first experience of buying shoes, brand Nike, to my great regret, negative. I paid for the brand, but not for the quality. And to my surprise, Nike does not care about customer support at all. I bought a month ago sneakers, in the Nike brand store, Riad, Saudi Arabia, after three days the fabric on one of them began to creep away. When I went to the store, asked to give money or replace shoes for another model, they simply refused me. Then I wrote to Nike, where they said that they could not help me in any way, so I didn't buy them online and gave me the distributor's phone number, but no one there answered, I turned to Nike for the second time, asked, give me the contact of a specific person who can help me, but this time they just ignored me. I urge all fans of Nike, look at the quality, not the brand. Because I threw out my money, wasted time and got a lot of negative emotions when buying a Nike brand!",April 4 2019,4/4/2019,Helpful (0),0,,,1,1,1,1,1,1
Ellen D.,Rhode Island 1 review 2 helpful votes,Rhode Island,Over all POOR do not order from,"The only reason I ordered from NIKE.com was because I had 2 gift certificates and do not live near a Nike store. I ordered a size 10.5 in a particular shoe and received an 11.5 in a totally different shoe. The box did not come with a return label because, you are not supposed to be able to return anything if you use gift cards. I don't understand that because it should not matter if you use gift cards or not. I called customer service after many minutes she sends me an email to print off a return label. When I clicked on the link it does not work and she send me another email with a link and an adobe download that is old and not compatible with my computer. Now she has to mail me the label. I would just cancel altogether but I want to use the gift certificates. She also told me the name of the wrong shoes that were delivered, I have no idea how she knew. And if she knew should that flag that they are not the right item being sent? Horrible customer service, such a hassle!",July 20 2017,20/7/2017,Helpful (2),2,,,1,0,1,1,1,1
Kenny R.,Oklahoma 1 review 0 helpful votes,Oklahoma,Nike therma fit pants or workout pants,"I'm not to pleased with all the tapered leg style of pant that not only Nike but all workout pants are doing. Nike could do themselves a service by providing the older style strait leg style of workout pants, this is something I've had several conversations and seen plenty of reviews for this but nobody seems to be listening. Bring back the strait leg style for crying out loud.",February 26 2022,26/2/2022,Helpful (0),0,,,2,0,2,1,1,1
Kevin C.,Canada 1 review 0 helpful votes,Canada,Archaic Returns Policy,,July 16 2023,16/7/2023,Helpful (0),0,,,1,1,1,1,0,1
Water M.,New York 4 reviews 0 helpful votes,New York,Great work,"I'm a shoe lover, and I love quality shoes I must confess and Nike has been one of my favorite since day 1, using the app to order has been helpful even though my order might get delayed due to some reasons understandable. I love you guys",October 22 2021,22/10/2021,Helpful (0),0,,,5,1,4,2,2,4
Damon S.,New Jersey 1 review 2 helpful votes,New Jersey,Scam on the app,"The sneaker app is the biggest scam in the world from Nike. I was on at 10 o'clock. It didn't even reach 1001 five minutes later said sneakers were sold out I can show you in the last year. I never won a room with a lease on any sneaker, that is a hot sneaker. Any sneaker that I get I can go the next day on their website and it's still available. Those are the ones you win. Look up in the left-hand corner you can see what time I put it in the biggest scam in the world needs everybody to get together and band the Nike app.",June 15 2023,15/6/2023,Helpful (2),2,,,1,1,1,1,1,1
Sequoia J.,California 1 review 1 helpful vote,California,Horrible Customer Service,"They are quick to get you off the phone telling you anything you want to hear. I have been waiting for over three weeks for two refunds in the amount of $207.58. Customer service only refunded me for one amount and keeps telling me that the other is coming when nothing has been refunded into my account. Most of the reps are not trained well and does not know how to handle calls properly. Two of my items were stolen off my porch and returned to a store, of which they have no ability to tell me which store so I can go to the store and ask for the tapes. They told me to file a police report and a report with FEDEX in order to receive my money back. Which I did so that same day, I was a regular customer with nike.com and after this experience I will never buy anything from them.",January 11 2019,11/1/2019,Helpful (1),1,,,1,0,2,2,0,2
davin c.,India 12 reviews 2 helpful votes,India ,Great experience,,October 22 2020,22/10/2020,Helpful (0),0,,,4,2,4,2,2,5
April B.,Florida 2 reviews 3 helpful votes,Florida,Shipping Rip-Off beware Nike.com,"I'm out $68 in shipping charges. I paid $30 for overnight shipping of 2 pairs of shoes for my son who was back from college. The morning they were to arrive I got a notice that they would not be delivered until at least 2 days later after he had already left to go back to school. I used the chat feature for customer service. They blamed their carrier, not my problem...I paid for a service that Nike didn't fulfill. Asked them to cancel order, no can do I was told but I could call the carrier myself if I wanted. Next suggestion, place an identical order and they will deliver next day and I can return the original order. You're kidding me right? They were supposed to refund the $30 in shipping but a week later, I've yet to see a credit. During the course of this chat, I had to endure stupid swoosh language and toward the end of the chat, which was over 30 minutes to be told they couldn't do anything, they started trying to sell me additional merchandise. Unbelievable.  Package finally arrives in a giant box too large for 2 pair of shoes. I had to pay $38 to return the shoes.  Is just bull. I'll never purchase anything from Nike again.",March 23 2024,23/3/2024,Helpful (2),2,,,1,1,1,1,1,1
Ben G.,Texas 1 review 0 helpful votes,Texas,I hate Nike,These people are literally the worst all I wanted to do was cancel immediately after as there was an error they took an hour to answer the phone is it all after 30 minutes you can't cancel it and there's nothing that can be done to undo or six this one literally there is they just want you to suffer,December 14 2023,14/12/2023,Helpful (0),0,,,1,1,1,1,1,0
Heath M.,New Mexico 1 review 3 helpful votes,New Mexico,#walkawayfromnike,,July 6 2019,6/7/2019,Helpful (3),3,,,1,0,1,1,1,1
John K.,Nevada 1 review 0 helpful votes,Nevada,Quality footwear,"Sneakers are very comfortable and relax your feet. Their sportswear not only looks great it feels great too. I absolutely love their hoodies! If you are looking for quality shoes, cloths and sportswear Nike is the way to go.",July 16 2022,16/7/2022,Helpful (0),0,,,4,4,4,0,0,5
Adam O.,Spain 1 review 0 helpful votes,Spain,Little disappointed,"I don't know what went wrong with my pair of sneakers, they started to feel very stretchy suddenly. I am losing my foot grip. I think I got the second production unit. They should be more responsible about the production quality.",July 16 2022,16/7/2022,Helpful (0),0,,,4,3,1,1,1,1
Lisa S.,Canada 2 reviews 0 helpful votes,Canada,Something is very broken at nike.com,"It's hard to imagine what it takes for a company as large as Nike to be this dysfunctional. I ordered and paid for 3 items over a month ago. Two of the items never arrived and showed only as \preparing shipment\"" every time I checked on the order status. Today I finally called to see what on earth could be taking so long -- only to be told the items are out of stock and would never be coming! So from their end Nike was happy to SELL the items that didn't actually exist via their site and TAKE my money and then NEVER ship them NEVER inform me they were not coming and NEVER refund me. The order went to indefinite limbo. If I hadn't called I apparently never would have been refunded. Their suggestion for compensation for this experience? A 15% discount on my next order! Ha! That's never happening!""",January 23 2023,23/1/2023,Helpful (0),0,,,1,0,0,0,0,0
Deez N.,California 1 review 1 helpful vote,California,Bad business,"Nike has been such a disappointment when it comes to shoes. It's unreal, they're only releasing the top tier Nike sneakers to (Private Chain) stores. They send limited amounts of shoes to heavily populated areas and don't release others to the general public. $#*! NIKE!",April 25 2023,25/4/2023,Helpful (1),1,,,1,1,1,1,1,1
Vikalp G.,India 3 reviews 43 helpful votes,India,Nike is Nice!,,February 25 2016,25/2/2016,Helpful (0),0,,,4,2,4,2,2,4
Scarlett J.,California 2 reviews 0 helpful votes,California,Comfortable fit,,January 19 2021,19/1/2021,Helpful (0),0,,,5,3,4,3,3,5
Ron G.,Florida 1 review 18 helpful votes,Florida,Customer service is equal nothing!,Decided to shop at Nike online. So my order was shipped fast but it never arrived! I contact Nike on 20 of Dec (today is 8/1/20) and I still haven't got a response regarding my refund! I just chatted with a rep and I've been told that I need to send them a proof of purchase of gift cards (can you even imagine that?). What's a joke gift cards are created to be a gift for someone and how can I now send them that proof? So at this point I'm left WITHOUT my money and WITHOUT the shoes. That what you can expect when shop at Nike com. Stay away of that scammers!,January 8 2020,8/1/2020,Helpful (18),18,,,1,0,1,1,0,1
Jandro P.,California 1 review 1 helpful vote,California,Poor condition of product,,August 22 2016,22/8/2016,Helpful (1),1,,,1,1,1,1,1,1
Jesus A.,Florida 1 review 0 helpful votes,Florida,There unprofecional,,February 7 2023,7/2/2023,Helpful (0),0,,,1,0,1,1,1,1
Rudy T.,Nevada 1 review 0 helpful votes,Nevada,How I feel,I recently ordered shoes from the official Nike website. They had them on sale plus there was 20% discount. I don't know why but every time they have something on sale that product doesn't arrive. There is always something going on when at the end they have to cancel my product. I don't know if that is a marketing trick to show great products that they don't have in inventory but how is it possible that the label has been created and the shoes never left the facility... that happened to me 3 times. Every time they have great prices items don't exist. That's how I feel.,October 4 2022,4/10/2022,Helpful (0),0,,,1,0,1,1,1,1
Amanda D.,Oregon 1 review 0 helpful votes,Oregon,Horrible company!,We purchased 4 tech fleece Nike jackets and washed all 4 together per Nike instructions. 2 jackets shrunk in size and the other 2 did not. Nike will not replace them because they don't physically see a defect! These jackets cost 130.00 each!,January 20 2022,20/1/2022,Helpful (0),0,,,1,1,1,5,1,1
Alex L.,India 6 reviews 0 helpful votes,India,Nike Air Force new collection,I really like the Nike Air Force new collection. The shoes are very comfortable and perfectly fitted. Cool and classy design. Decent colors. At this price range the quality of the material used in this shoes is amazing. Overall i am always impressed with the nike's shoes range.,April 5 2021,5/4/2021,Helpful (0),0,,,4,1,3,0,0,4
John W.,Texas 1 review 0 helpful votes,Texas,Shipping is bad,,November 1 2022,1/11/2022,Helpful (0),0,,,2,2,4,1,1,4
Mayra R.,Texas 1 review 16 helpful votes,Texas,"Misrepresented product on their website, refused to price match item","I orderded a baseball glove which we received the wrong one, due to a mistake with the web photo. Nike made my son think we can get him a glove we could not afford. They refused to make a price match and the mistake is still on the website today. I am very upset and disappointed in a company that we have used for years. The customer service rep send me an email specifically telling me not to writer anymore and if I did, they would not answer. I am not asking for anything that any other company would not do, as it is the decent thing to do. I feel that since they are such a big company, and our kids just want to wear the product that big athletes are sponsored by, they can do what ever they want, and losing 1 customer is not big deal. They don't feel like they need to satisfy a customer.",May 29 2020,29/5/2020,Helpful (16),16,,,1,1,1,1,1,1
Bryan P.,Florida 1 review 0 helpful votes,Florida,Nike,"I love Nike, I've been using this brand for so long now and I'm happy. Today is my birthday 7/25 and I got %20 off for birthday month and %25 school clothes. Instead of spending $457.89 I spent $354.16 because of the %off I'm grate full of this thank you.",July 26 2023,26/7/2023,Helpful (0),0,,,5,5,5,5,5,5
Steven S.,France 1 review 0 helpful votes,France,"Nice service, good quality!","It seemed we have been waiting for those air Jordan sneakers for ages, though the parcel was delivered on the third day after we placed the order. It was a birthday present for my niece, she dreamt of those for months. I can't find the words to describe how happy she was to get them exactly on the day of her birthday party. Thanks for the fast delivery, the quality is also on a high level, as always.",April 18 2021,18/4/2021,Helpful (0),0,,,5,4,3,5,3,2
Patrick W.,Australia 1 review 0 helpful votes,Australia,Great tennis shoes,"Great tennis shoes! Honestly I am missing a lot Federer shoes because they were most comfortable for me! A switch now to Rafa model, It's not that comfortable but definitely is prettier. I really appreciates nike outfit for tennis, from shoes to wristband! Beautiful and comfortable! Keep up with good work",August 18 2022,18/8/2022,Helpful (0),0,,,4,3,5,5,5,5
Mary R.,Iowa 1 review 2 helpful votes,Iowa,Terrible,,December 20 2016,20/12/2016,Helpful (2),2,,,1,1,1,1,1,1
Nata N.,New York 2 reviews 5 helpful votes,New York,Overcharge,"Two times in a row they messed up my orders. They promised to give me a credit, but they never did. I paid for the expedite shipping. I never received my order on time. The worst customer service ever.",December 16 2023,16/12/2023,Helpful (0),0,,,1,1,2,1,0,0
diane h.,Missouri 1 review 0 helpful votes,Missouri,NIKE AIR,,October 10 2020,10/10/2020,Helpful (0),0,,,2,2,2,2,2,2
Sandra S.,California 1 review 0 helpful votes,California,Disrespectful to America,,September 7 2018,7/9/2018,Helpful (0),0,,,1,1,1,1,1,1
Cynthia S.,New York 4 reviews 9 helpful votes,New York,My Love for Nike Sneakers,"I absolutely love the Nike Women's WMNS Air Max 270 AH6789 100 in White/Black! These shoes are incredibly comfortable and provide excellent support for my runs. The cushioning is top-notch, making each stride feel smooth and effortless. I also appreciate the stylish design that perfectly matches my sporty look. Overall, these shoes have become my go-to option for running, and I highly recommend them to anyone seeking comfort and style in their athletic footwear.",May 18 2023,18/5/2023,Helpful (8),8,,,5,5,5,5,5,5
Yves P.,Nevada 14 reviews 45 helpful votes,Nevada ,Website problems,"Don't know what's going on with Nike. - ordered a pair of trainers - size 9! Then they were cancelled a few days later because the size was now unavailable, a few days after that I go online and check and the size is now back in stock on their website. Why did they not just wait a few days and then send them or offer me the trainers once they came back in. The deliver date was the 1st anyway.",May 30 2021,30/5/2021,Helpful (2),2,,,2,0,0,0,0,0
don g.,Alabama 1 review 0 helpful votes,Alabama,Need to stop the raffle,,December 15 2022,15/12/2022,Helpful (0),0,,,1,1,1,1,1,1
Carson J.,Australia 1 review 0 helpful votes,Australia,Always happy with them!,"I am always happy with them, running shoes are just amazing, love the quality and price is quite reasonable so I think that most of people can afford it. Also I play a lot of basketball with my friends and most of us are wearing Nike's, especially KD's shoes.",December 13 2022,13/12/2022,Helpful (0),0,,,5,0,0,0,0,5
Leslie D.,Florida 11 reviews 13 helpful votes,Florida ,It's not what it use to be...,"I ordered a pair of Jordan sneakers and it arrived on 11/21/23 only to open up the damaged shoe box to find that one of the shoe was a size 10 and the other shoe was a size 10.5 nike is going down hill I'm not sure what's going on with them but just last month I ordered the nike dunk low retro and the stitching was sown so defective from the inside of one of the shoe that it hurted my son's feet just to walk in them, so now I gotta travel back out of town again for the second time less then two months just to return another pair of shoes to the nearest nike store which was their mistake anyways from not checking the shoes before they shipped them out.",November 22 2023,22/11/2023,Helpful (2),2,You just never know what your getting from this site....it's best just to walk in a store and buy your shoes,Shoes,1,0,2,4,3,2
Candice J.,Florida 1 review 1 helpful vote,Florida,Never buying Nikes again!,"The pair of shoes I bought were for a gift the only things she wanted. They got lost in shipping. Nike was no help at all! The item was out of stock when The \athlete\"" looked to resend. The \""CUSTOMER SERVICE\"" was by far the worst I have ever in my life experienced. Multiple calls with no help. Mike was the most helpful gentleman that I spoke with",August 27 2022,27/8/2022,Helpful (1),1,save yourself a horrible experience. Order on Amazon!!,None for the item was lost.,1,0,0,0,0,0
tanya b.,Canada 1 review 0 helpful votes,Canada,Didnt give me my money back for my return issued in 2022.,"Ive called over 5 times now about my return i didnt recieve. On november 7th, 2022 my return was \issued\"" although i never received it. Each time i call they tell me to go to the bank as it is a bank issue but ive been to the bank in person and they said its an issue with nike. I am not happy. I had my debit card changed which is why i cant receive the money. But they give no option to change my payment info with their reason being that i could be committing fraud wanting my return sent on my new debit card. When i called they told me basically there is no way i can get my money back if the bank cant do anything. Nike owes me over $180 for a pair of shoes i returned and each time i call they proceed to do nothing to help. It deeply upsets me to see such a big company treating loyal customers this way. I will keep reporting this until something gets fixed. Do better nike.""",June 10 2023,10/6/2023,Helpful (0),0,,,1,1,1,1,1,1
R C.,Florida 1 review 2 helpful votes,Florida,Custom Slop,"My daughter purchased a pair of Custom Air Forces for me in May. So once I had the chance, I was excited to order my custom shoes as well. They were scuffed and sloppily made. The silver monogramming was smeared a few places on the shoe. I wore them 1 time and the sole began to separate from the side of the shoe. I contacted customer service who sent me to a corporate line to file a claim (whatever that means). I was transferred to a recording that told me to cal back during normal business hours, however never stated when normal business hours were for them. I am extremely disappointed.",September 12 2019,12/9/2019,Helpful (2),2,,,1,0,1,1,1,1
Kenneth M.,California 1 review 0 helpful votes,California,Horrible Customer Service,"I ordered two apparel items back in February. I was patient as they had the disclaimer saying orders may be delayed due to ""Covid"" issues. I would check their website for status updates every 60 days and it would state ""still awaiting a pickup by their shipping company"". In December. Their website still says it hasnt been picked up by their shipper. I called to inquire and first they said the order was delivered and maybe stolen. I told them their own website says it hasnt even been shipped. I was then told too bad, theres nothing else we can do and they will not respond to my requests any further because its been too long. I checked their website one last time today and it still says the order has not been picked up by their shipper. This is the worst customer service Ive ever experienced. Horrible. $131.00 wasted.",January 2 2022,25/8/2022,Helpful (0),0,,,1,1,1,1,1,1
Amanda S.,Pennsylvania 1 review 3 helpful votes,,Its a no for me,"I ordered a custom pair of huaraches. The trimming on the fabric looks like I. T was seen together by a high school class. Trimming is white all around the edges. The shoe is predominantly blue. Colors are true to what I chose. Its just poorly put together... Im so disappointed. Dont think Ill be ordering NikeiD again
",December 19 2017,19/12/2017,Helpful(3),3,,,2,2,1,2,2,1
Andy A. ,Czechia 4 reviews 3 helpful votes,Czechia,Disappointed,I am very disappointed with Nike shoes recently. I was a huge fan of them and I never bough any pair of shoes other than Nike but the last couple of shoes I bought were just disaster and they were somehow fully destroyed after 6 month of use.,September 19 2019,19/9/2019,Helpful(3),3,,,2,2,2,2,2,2
Michael D. ,Illinois 1 review 0 helpful votes,Illinois,Excessive processing times with no possibility to cancel the order then,"Order can be canceled only within the first 30 minutes. 4 days later the order still is ""processing"", and wont be shipped for another two, and can't be canceled. Shipping is from within the US (TN) and second party retailers can ship faster than the manufacturer. Customer Service said send it back if you don't want it, can't be canceled. Run like a Mom and Pop, not a major retailer.",July 11 2023,11/7/2023,Helpful (0),0,Accurate shipping dates and transparent order cancelation policy.,Haven't received it yet.,1,1,0,1,0,0
dan d.,New Jersey 1 review 15 helpful votes,New Jersey,Terrible quality and services,"I bought the airmax 270 and after a few weeks both the air bubbles popped while I was running and injured my knee so badly that I havn't been able to walk for two weeks now. I called them up and they were extremely unhelpful, rude and refused to stand behind their product. I am very disappointed in the quality and overall experience with nike and their products. Will Definitely not be buying any nike shoes in the future!",November 16 2019,16/11/2019,Helpful (15),15,,,1,1,1,1,1,1
sarah c.,Texas 1 review 1 helpful vote,Texas,Looked great- fell apart,"I bought these shoes to wear to work (in a hospital). The lettering on the back lasted two weeks, and after 3 months the tread on the bottom of the shoe is literally peeling off! I received a ton of compliments, but here I am buying a new pair of shoes 3 months later- not happy.",September 16 2017,16/9/2017,Helpful (1),1,,,2,2,2,2,2,1
Tracey S.,Missouri 2 reviews 1 helpful vote,Missouri,Worse online experience EVER!,"Attempted to purchase sneakers for my grandson and order the wrong size. Called and was told that they indeed had an upsize and would ship them upon my returning the purchased ones. Was asked to wait for a return label to my email. It never came. Called back and a gentleman apologized and resent me (2) labels.? Returned the item, waited a few days and called. They said they received the shoes, and were issuing a refund. Explained that I requested an exchange. Okay, let's do the exchange now. Received cancellation notice. Called. No, it hasn't been cancelled. Received email. Yes it's been cancelled. Called again, no it was a duplicate order cancelled, your exchange is on the way. Today, email indicating my refund was returned to my account. Called---indeed you will receive a refund in 10-12 business days. DONE",June 23 2016,23/6/2016,Helpful (1),1,,,1,1,1,1,1,1
herman l.,Singapore 7 reviews 9 helpful votes,Singapore,Ahhh�,Ahhh... just crazy about the cool customization Nike has provided its customers with. I love the fact about how Nike has made their website so interactive and given a new interest and appeal to its customers by providing them with the customization utility. Amazing Job,August 25 2012,25/8/2012,Helpful (9),9,,,5,3,5,3,3,5
Warnel G.,District of Columbia 4 reviews 15 helpful votes,District of Columbia,It changed the way I walk,I was lucky enough to get a pair for myself at 50$ (discount season) and God. I never thought that those could be so comfortable. I used to think that these brand shoes are overpriced and that the Chinese alternatives aren't any worse but I was so wrong. Recommend!,June 10 2020,10/6/2020,Helpful (15),15,,,5,2,4,2,2,5
Ashley M.,New Jersey 18 reviews 3 helpful votes,New Jersey,Quickest Shipping Ever!,"I won the draw for these kid size dunks on the Nike SNKRS app and was amazed at how fast the shipping took - literally had them within 2 days after ordering. Being that I wear a size 6 in women, I was able to get the size 4.5 in youth kids and they fit perfectly.",November 24 2021,24/11/2021,Helpful(3),3,,,5,2,3,5,3,3
james w.,California 1 review 0 helpful votes,California,I will not buy your products again,You think that Google is in with you on searches for man's shoes so that when we do a google search your brand keeps coming up? Wrong there are other search engines out there. I will not buy NIKE brand again. Hope you have fun with kapernick you will go go out of business soon you idiots. Besides your shoes suck. I can find a better shoe.,September 8 2018,8/9/2018,Helpful (0),0,,,1,1,1,1,1,1
Zinnia W.,Florida 1 review 1 helpful vote,Florida,Horrible Quality Don't Fit,"Nike quality is trash. Its obvious you're no longer using quality materials to makes shoes. I bought 2 pairs of shoes for my sons and you can see the glue all along the edges, wrinkles at the foot, worst of all they don't fit. How the heck can they not fit when they both have other Nike shoes and size and these don't fit.
Freaking ridiculous. I rather they wear Snack O'Neils and get my $250 back tf.",December 26 2021,26/12/2021,Helpful (1),1,,,2,1,1,2,2,1
Leo H.,France 1 review 3 helpful votes,France,Withholding my account and Evoucher,"Witholding my account and Evoucher
Nike - Having returned my trainers due to the toe coming apart nike refunded the money after losing the returned trainers for 2 weeks. They then sent me an evoucher but also locked my account at the same time meaning i couldnt spend it! Im therefore still a month on trying to use the voucher to pay for a new pair of trainers and they still have my account locked up.! Really poor service i will be going to adidas from now on after being a loyal nike customer for years",September 19 2019,19/9/2019,Helpful(3),3,,,1,0,1,1,1,1
